PN,Nome,Descrição,UN,Importância,Tipo / Categoria,Local,Estoque Atual,Mínimo (30 dias),Máximo ( 60 dias),LEADTIME TOTAL
30UC0031,PONTA FERRO SOLDA T12 MODELO BC2,,UN,Parada de Linha,Consumivel,MRO-14,165,150,300,20 dias
30UC0033,PONTA FERRO SOLDA T12 MODELO C4,,UN,Parada de Linha,Consumivel,MRO-14,44,134,268,20 dias
30UC0034,"PONTA DISP. PLAST. VERDE -P18G 0,84MM G",,UN,Parada de Linha,Consumivel,MRO-14,2998,1000,2000,20 dias
30UC0035,PONTA DISPENSADORA PLASTICO AZUL CLARO 0.71 MM,"PONTA DISPENSADORA 0,71 MM PLAST.AZUL CL ",UN,Parada de Linha,Consumivel,MRO-14,538,550,1100,20 dias
30UC0036,PONTA DISPENSADORA PLASTICO VERDE OLIVA 1.55 MM - 14G,PONTA DISPENSADORA 14G 1.55MM PLAST. VERDE OLIVA P/982A,UN,Parada de Linha,Consumivel,MRO-14,40,500,1000,20 dias
30UC0037,PONTA DISPENSADORA DE COLA 1.36MM P.META 15G AMBAR,,UN,Parada de Linha,Consumivel,SEM-SALDO,0,200,400,20 dias
30UC0038,PONTA DISPENSAD. DE COLA VERDE METAL 18G,,UN,Parada de Linha,Consumivel,MRO-14,83,100,200,20 dias
30UC0039,PONTA DISPENSADORA. PLAST.ROSA 982A-P20G,,UN,Parada de Linha,Consumivel,MRO-14,485,1000,2000,20 dias
30UC0048,ROLO DE PANO WIPER GRAM WHITE E00038, Pano de alta absorção Waypall X70 / X80,UN,Parada de Linha,Limpeza Stencil,MRO-35,12,50,100,20 dias
30UC0052,"SOLVENTE ALFATEC 1200 BOMBONA C/ 5,0 LT",Consumo: 6 LT por dia,GL,Parada de Linha,Químico,GAIOLA-02,60,219,438,25 dias
30UC0053,SOLVENTE MP 249/G ICQL,,GL,Parada de Linha,Químico,GAIOLA-02,0,50,100,45 dias
30UC0094,FLUXO SOLDAGEM GEL SERINGA 10G LEAD FREE,FLUXO FLDS0300510G TIPO GEL SERINGA 10G LEAD FREE | R,UN,Parada de Linha,Consumivel,MRO-20,13,10,20,20 dias
30UC0096,ROLO LIMP. STENCIL DECK 50CM X 10M,,RL,Parada de Linha,Limpeza Stencil,MRO-33,50,242,484,20 dias
30UC0097,SOLVENTE C8882 CYBERSOLV,,GL,Parada de Linha,Químico,GAIOLA-02,0,2,4,25 dias
30UC0098,SOLVENTE MP 201/INV - BP 20 SOL. LIMPEZA DE STENCIL,,GL,Parada de Linha,Químico,GAIOLA-02,0,5,10,45 dias
30UC0258,ROLO DE TECIDO PERFEX 300M,ROLO DE TECIDO PERFEX 300M,UN,Parada de Linha,Limpeza Stencil,MRO-35,0,24,48,20 dias
34FR0003,ALICATE DE CORTE SENKRA SK-CHP170 1.3MM,,UN,Parada de Linha,Corte,SEM-SALDO,0,35,70,20 dias
53EP0043,LUVA ANTI-ESTATICA DISSIPADORA CINZA PALMA MAO-PU TAM G,LUVA ANTIEST. DISSIP. CINZA PALMA MAO-PU TAM.G,CX,Parada de Linha,ESD,SEM-SALDO,0,600,1200,25 dias
53EP0044,LUVA ANTI-ESTATICA DISSIPADORA CINZA PALMA MAO-PU TAM.M,,CX,Parada de Linha,ESD,SEM-SALDO,0,93,186,25 dias
53EP0045,LUVA ANTI-ESTATICA DISSIPADORA CINZA PALMA MAO-PU TAM.P,,CX,Parada de Linha,ESD,SEM-SALDO,0,116,232,25 dias
53EP0046,LUVA ANTI-ESTATICA DISSIPADORA CINZA PALMA MAO-PU TAM.PP,,CX,Parada de Linha,ESD,SEM-SALDO,0,500,1000,25 dias
53EP0047,LUVA ANTI-ESTATICA DISSIPADORA CINZA PONTA DEDO-PU TAM.G,,CX,Parada de Linha,ESD,MRO-13,290,2,4,25 dias
53EP0048,LUVA ANTI-ESTATICA DISSIPADORA CINZA PONTA DEDO-PU TAM.M,,CX,Parada de Linha,ESD,MRO-13,20,300,600,25 dias
53EP0049,LUVA ANTI-ESTATICA DISSIPADORA CINZA PONTA DEDO-PU TAM.P,,CX,Parada de Linha,ESD,MRO-13,12,300,600,25 dias
53EP0050,LUVA ANTI-ESTATICA DISSIPADORA PRETA PALMA MAO-PU TAM.G,,CX,Parada de Linha,ESD,MRO-13,190,600,1200,25 dias
53EP0052,LUVA ANTI-ESTATICA DISSIPADORA PRETA PALMA MAO-PU TAM.M,,CX,Parada de Linha,ESD,MRO-13,290,210,420,25 dias
53EP0053,LUVA ANTI-ESTATICA DISSIPADORA PRETA PALMA MAO-PU TAM.P,,CX,Parada de Linha,ESD,MRO-13,80,120,240,25 dias
53EP0054,LUVA ANTI-ESTATICA DISSIPADORA PRETA PALMA MAO-PU TAM.PP,,UN,Parada de Linha,ESD,SEM-SALDO,0,2,4,25 dias
53EP0055,CALCANHEIRA ANTIESTATICA C/ENGATE RAPIDO,,UN,Parada de Linha,ESD,SEM-SALDO,0,470,940,20 dias
53EP0067,PULSEIRA ANTIESTATICA,,UN,Parada de Linha,Consumivel,MRO-14,405,300,600,20 dias
53EP0126,LUVA NITRILICA SEM PO TAM P,,CX,Parada de Linha,ESD,ARM-28,58,60,120,25 dias
53EP0127,LUVA NITRILICA SEM PO TAM M,,CX,Parada de Linha,ESD,ARM-28,49,40,80,25 dias
53EP0128,LUVA NITRILICA SEM PO TAM G,,CX,Parada de Linha,ESD,ARM-28,18,20,40,25 dias
BROCA-002,"BROCA DE ACO RAPIDO 4,00X75MM TW100 DIN338 TWILL",,UN,Parada de Linha,Consumivel,MRO-19,50,50,100,20 dias
FITA-055,FITA ADESIVA DUREX 72MM X 100M (FITA DUREX SEM LOGO LARGA),,UN,Parada de Linha,Consumivel,ARM-11,36,2029,4058,15 dias
GRAMPO-002,GRAMPO TRILHO METALIZADO ROMEU E JULIETA CHAPARRAU 166-184,GRAMPO TRILHO METALIZADO ROMEU E JULIETA CHAPARRAU 166-184,UN,Parada de Linha,Consumivel,ARM-EXP-03,450,100,200,20 dias
RIBBON-007,"RI, RIBBON MISTO 110MMX450M, ROHS",,RL,Parada de Linha,Consumivel,MRO-19,19,50,100,20 dias
SOLVENTE-010,SOLVENTE MP 227/ICS ICQL,,GL,Parada de Linha,Químico,GAIOLA-02,0,50,100,45 dias
10PP0002,ENVELOP PAPEL SACO SCRITY 240MMX340MM A4,,UN,Importante,Expediente,ARM-19,558,500,1000,20 dias
10PP0003,PAPEL OFICIO A3 297MM X 420MM,,PCT,Importante,Expediente,SEM-SALDO,0,3,6,20 dias
10PP0004,PAPEL CARBONO DUPLA FACE PT 220MMX330MM,,UN,Importante,Expediente,MRO-19,3800,500,1000,25 dias
10PP0005,PAPEL FOTOGRAFICO A4 210MM X 297MM,,RM,Importante,Expediente,ARM-21,41,100,200,20 dias
10PP0006,PAPEL FOTOGRAFICO ADESIVO A4 210MMX297MM,,UN,Importante,Expediente,ARM-21,44,100,200,20 dias
10PP0007,PAPEL OFICIO AMARELO 210MM X 297MM,,PCT,Importante,Expediente,ARM-16,2,3,6,20 dias
10PP0009,PAPEL OFICIO VERDE 210MM X 297MM,,UN,Importante,Expediente,ARM-25,9,10,20,20 dias
10PP0010,PAPEL P/CERTIFIC.COUCHE BRILHO BRANCO A4,,UN,Importante,Expediente,SEM-SALDO,0,200,400,20 dias
10PP0011,PERFURADOR DE PAPEL 50 FLS,,UN,Importante,Expediente,ARM-EXP-01,3,0,0,25 dias
11AD0005,SILICON TAPE-022 3mmX10MMX200g - RP0SMJ04,,UN,Importante,Consumivel,SEM-SALDO,0,200,400,25 dias
12PL0001,"ABRACADEIRA PLAST, NYLON,PRETA TAM.20CM",,UN,Importante,Consumivel,SEM-SALDO,0,645,1290,20 dias
12PL0002,"ABRACADEIRA PLAST, NYLON,PRETA TAM.30CM",,UN,Importante,Consumivel,MRO-13,150,500,1000,20 dias
12PL0004,CARRETEL PLASTICO VAZIO N°5,,UN,Importante,Consumivel,SEM-SALDO,0,0,0,25 dias
12PL0005,EMBALAG.PLAST.ANTIESTATICA TAM.25MMX25MM,,UN,Importante,Consumivel,SEM-SALDO,0,500,1000,20 dias
12PL0006,EMBALAG.PLAST.ANTIESTATICA TAM.50MMX45MM,,UN,Importante,Consumivel,SEM-SALDO,0,500,1000,20 dias
12PL0007,ENVELOP PLASTICO 240MMX330MM(OFICIO) 4F,,UN,Importante,Expediente,ARM-23,11150,500,1000,20 dias
12PL0008,"FUNIL PLASTICO 12,5CM",,UN,Importante,Consumivel,MRO-18,2,5,10,20 dias
12PL0009,PLASTICO P/PLASTIFICAR TAM. A4 220MMX307,,UN,Importante,Expediente,SEM-SALDO,0,500,1000,20 dias
12PL0010,SERINGA DISPENSADORA PLAST.100CC C/PISTO,,UN,Importante,Consumivel,MRO-20,77,50,100,20 dias
12PL0011,SERINGA DISPENSADORA PLAST.30CC C/PISTON,"Consumo: 9 uni por dia - Informação da reserva de produção.
Consumo: OP de 100k - usa 32 uni - Informação de Udson Miranda - Analista de Engenharia.",UN,Importante,Consumivel,MRO-20,120,120,240,20 dias
12PL0012,SERINGA DISPENSADORA PLAST.55CC C/PISTON,"Consumo: 6 uni por dia - Informação da reserva de produção.
Consumo: OP de 100k - usa 51 uni - Informação de Udson Miranda - Analista de Engenharia.",UN,Importante,Consumivel,MRO-20,86,120,240,20 dias
12PL0013,BISNAGA ALMOTOLIA BICO RETO 120ML,,UN,Importante,Consumivel,MRO-15,152,30,60,20 dias
12PL0014,BISNAGA ALMOTOLIA BICO RETO 250ML,,UN,Importante,Consumivel,MRO-15,1,50,100,20 dias
12PL0015,JARRA GRADUADA POLIPROPILENO 1 LT TRANSP,,UN,Importante,Consumivel,SEM-SALDO,0,0,0,25 dias
12PL0016,JARRA GRADUADA POLIPROPILENO 2 LT TRANSP,,UN,Importante,Consumivel,MRO-18,1,2,4,25 dias
12PL0017,BORRIFADOR PULVERIZADOR,,UN,Importante,Consumivel,SEM-SALDO,0,30,60,20 dias
17ME0001,ALMOFADA PARA CARIMBO COR AZUL N°03,,UN,Importante,Expediente,ARM-EXP-04,10,2,4,20 dias
17ME0002,ALMOFADA PARA CARIMBO COR PRETA N°03,,UN,Importante,Expediente,ARM-EXP-04,12,2,4,20 dias
17ME0003,ALMOFADA PARA CARIMBO COR VERMELHA N°03,,UN,Importante,Expediente,ARM-EXP-04,1,57,114,15 dias
17ME0004,APAGADOR PARA QUADRO BRANCO,,UN,Importante,Expediente,ARM-EXP-03,1,5,10,20 dias
17ME0006,APONTADOR DE LAPIS,,UN,Importante,Expediente,ARM-EXP-04,1,5,10,20 dias
17ME0007,"BASTAO DE COLA QUENTE 11,2MM X 30CM",,UN,Importante,Expediente,MRO-13,70,50,100,20 dias
17ME0008,BLOCO DE MOVIMENTACAO DE MATERIAL,,UN,Importante,Expediente,IM-22,167,50,100,20 dias
17ME0009,BORRACHA BRANCA,,UN,Importante,Expediente,ARM-EXP-05,56,30,60,20 dias
17ME0010,BORRACHA DUAS CORES,,UN,Importante,Expediente,SEM-SALDO,0,3,6,20 dias
17ME0011,CADERNO BROCHURAO AZUL 96FLS,,UN,Importante,Expediente,SEM-SALDO,0,10,20,20 dias
17ME0012,CADERNO BROCHURAO PRETO 96FLS,,UN,Importante,Expediente,SEM-SALDO,0,5,10,20 dias
17ME0013,CADERNO BROCHURAO VERDE 96FLS,,UN,Importante,Expediente,SEM-SALDO,0,5,10,20 dias
17ME0014,CADERNO DE PROTOCOLO DE CORRESPONDENCIA,,UN,Importante,Expediente,ARM-EXP-01,17,20,40,20 dias
17ME0015,COLA BASTAO BRANCA,,UN,Importante,Expediente,ARM-EXP-03,28,10,20,20 dias
17ME0016,CALCULADORA 08 DIGITOS,,UN,Importante,Expediente,ARM-EXP-03,14,5,10,20 dias
17ME0017,CALCULADORA 12 DIGITOS,,UN,Importante,Expediente,SEM-SALDO,0,7,14,20 dias
17ME0018,CANETA CORRETIVA 8ML,,UN,Importante,Expediente,SEM-SALDO,0,10,20,20 dias
17ME0019,CANETA ESFEROGRAFICA AZUL,,UN,Importante,Expediente,ARM-EXP-04,130,200,400,20 dias
17ME0020,CANETA ESFEROGRAFICA PRETA,,UN,Importante,Expediente,ARM-EXP-04,299,150,300,20 dias
17ME0021,CANETA ESFEROGRAFICA VERMELHA,,UN,Importante,Expediente,ARM-EXP-04,69,100,200,20 dias
17ME0022,CARIMBO DE LANCAMENTO - DATADOR,,UN,Importante,Expediente,ARM-EXP-02,10,10,20,15 dias
17ME0023,CARIMBO DE TRANSFERENCIA INVENTUS DATADO,,UN,Importante,Expediente,ARM-EXP-02,10,12,24,15 dias
17ME0024,"CARTAO INDICADOR DE UMIDA,HIC 5%-10%-60%",,UN,Importante,Consumivel,SEM-SALDO,0,100,200,20 dias
17ME0025,CLIPS GALVANIZADO 2/0,,UN,Importante,Expediente,ARM-EXP-03,4,10,20,20 dias
17ME0026,CLIPS GALVANIZADO 3/0,,UN,Importante,Expediente,ARM-EXP-03,10,10,20,20 dias
17ME0027,CLIPS GALVANIZADO 4/0,,CX,Importante,Expediente,ARM-EXP-03,20,6,12,20 dias
17ME0028,CLIPS GALVANIZADO 6/0,,UN,Importante,Expediente,SEM-SALDO,0,6,12,20 dias
17ME0029,CLIPS GALVANIZADO 8/0,,UN,Importante,Expediente,ARM-EXP-03,9,6,12,20 dias
17ME0030,DISPLAY OFFICE A4-ACRILICO 32CM X23.5CM,,UN,Importante,Expediente,ARM-EXP-05,0,2,4,20 dias
17ME0031,DIVISORIAS PARA FICHARIO,,UN,Importante,Expediente,ARM-EXP-01,21,20,40,20 dias
17ME0032,EXTRATOR DE GRAMPO ESPATULA,,UN,Importante,Expediente,ARM-EXP-04,14,10,20,20 dias
17ME0033,"GRAMPEADOR METAL 11,5 CM P/20FL",,UN,Importante,Expediente,ARM-EXP-05,28,10,20,20 dias
17ME0034,GRAMPO GALVANIZADO P/GRAMPEAD 20FLS 26/6,,CX,Importante,Expediente,ARM-EXP-03,1,10,20,20 dias
17ME0035,GRAMPO GALVANIZADO P/GRAMPEADOR 25 FLS ENAK-10,GRAMPO GALVANIZADO P/GRAMPEADOR 25 FLS ENAK-10,CX,Importante,Expediente,ARM-EXP-03,2,2,4,25 dias
17ME0036,GRAMPO PARA FITA DE EMENDA CX C/ 4000PCS,,CX,Importante,Consumivel,MRO-16,4,8,16,20 dias
17ME0037,LAPIS,,UN,Importante,Expediente,SEM-SALDO,0,10,20,20 dias
17ME0038,LAPIS MARCADOR DE PCB AZUL,,UN,Importante,Consumivel,ARM-EXP-02,156,10,20,25 dias
17ME0039,LAPIS MARCADOR DE PCB PRETO,,UN,Importante,Consumivel,ARM-EXP-02,480,10,20,25 dias
17ME0040,LAPIS MARCADOR DE PCB VERMELHO,,UN,Importante,Consumivel,ARM-EXP-02,132,10,20,25 dias
17ME0041,"LAPISEIRA GRAFITE 0,7",,UN,Importante,Expediente,SEM-SALDO,0,5,10,25 dias
17ME0042,"LAPISEIRA GRAFITE 0,9",,UN,Importante,Expediente,SEM-SALDO,0,5,10,25 dias
17ME0043,ORGANIZADOR DE DOCUMENT.TRIPLO ARTICULAD,,UN,Importante,Expediente,IM-22,5,5,10,25 dias
17ME0044,ORGANIZADOR DE DOCUMENT.TRIPLO HORIZONTA,,UN,Importante,Expediente,,0,5,10,25 dias
17ME0045,ORGANIZADOR DE DOCUMENT.TRIPLO VERTICAL,,UN,Importante,Expediente,,0,5,10,25 dias
17ME0046,ORGANIZADOR DE GAVETA ESCRITORIO,,UN,Importante,Expediente,,0,3,6,25 dias
17ME0047,PASTA CATALOGO 240MM X 330MM,,UN,Importante,Expediente,MRO-18,20,63,126,20 dias
17ME0048,PASTA L A4 TRANSPARENTE,,UN,Importante,Expediente,ARM-23,16,30,60,20 dias
17ME0049,PASTA L AMARELA,,UN,Importante,Expediente,SEM-SALDO,0,10,20,25 dias
17ME0050,PASTA L AZUL,,RL,Importante,Expediente,IM-22,6,10,20,25 dias
17ME0051,PASTA L CRISTAL,,UN,Importante,Expediente,ARM-23,26,10,20,25 dias
17ME0052,PASTA L FUME,,UN,Importante,Expediente,,0,10,20,20 dias
17ME0053,PASTA L VERDE,,PCT,Importante,Expediente,,0,10,20,25 dias
17ME0054,PASTA L VERMELHA,,UN,Importante,Expediente,,0,10,20,25 dias
17ME0055,PASTA PORTA QUADRO DE HORARIO DE TRABALHO HORIZONTAL 320MM X 237MM,,UN,Importante,Expediente,MRO-20,0,100,200,20 dias
17ME0056,PASTA QUIMICA PARA PONTA DE SOLDA,,UN,Importante,Químico,ARM-EXP-04,40,40,80,20 dias
17ME0057,PINCEL ANTIEST. AZUL ZEBRADO,,UN,Importante,Consumivel,SEM-SALDO,0,50,100,35 dias
17ME0058,PINCEL ANTIEST. PRETO ZEBRADO,,UN,Importante,Consumivel,ARM-17,490,50,100,35 dias
17ME0059,PINCEL ANTIEST. ROSA ZEBRADO,,UN,Importante,Consumivel,ARM-17,120,50,100,25 dias
17ME0060,PINCEL ANTIEST. VERDE ZEBRADO,,UN,Importante,Consumivel,ARM-17,550,50,100,35 dias
17ME0061,PINCEL ANTIEST. VERMELHO ZEBRADO,,UN,Importante,Consumivel,ARM-17,70,50,100,35 dias
17ME0062,PINCEL ATÔMICO MARCADOR PERMANENTE AZUL,,UN,Importante,Expediente,ARM-EXP-05,3,5,10,25 dias
17ME0063,PINCEL MARCAD. QUADRO BRANCO WBM-7 AZUL,,UN,Importante,Expediente,MRO-15,246,100,200,20 dias
17ME0064,PINCEL MARCAD. QUADRO BRANCO WBM-7 PRETO,,UN,Importante,Expediente,MRO-15,293,100,200,25 dias
17ME0065,PINCEL MARCAD. QUADRO BRANCO WBM-7 VERDE,,UN,Importante,Expediente,MRO-15,807,100,200,25 dias
17ME0066,PINCEL MARCAD. QUADRO BRANCO WBM-7 VERME,,UN,Importante,Expediente,MRO-15,248,100,200,20 dias
17ME0067,PINCEL MARCADOR DE TEXTO AMARELO,,UN,Importante,Expediente,ARM-EXP-03,0,15,30,20 dias
17ME0068,PINCEL MARCADOR DE TEXTO AZUL,,UN,Importante,Expediente,ARM-EXP-03,0,15,30,20 dias
17ME0069,PINCEL RETROPROJETOR 2.0 MM AZUL,,UN,Importante,Expediente,SEM-SALDO,0,113,226,20 dias
17ME0070,PINCEL RETROPROJETOR 2.0 MM PRETO,,UN,Importante,Expediente,MRO-15,0,82,164,20 dias
17ME0071,PINCEL RETROPROJETOR 2.0 MM VERDE,,UN,Importante,Expediente,MRO-15,424,132,264,20 dias
17ME0072,PINCEL RETROPROJETOR 2.0 MM VERMELHO,,UN,Importante,Expediente,MRO-15,741,100,200,25 dias
17ME0073,PINCEL RETROPROJETOR FINO 1.0MM VERMELHO,,UN,Importante,Expediente,ARM-22,0,10,20,20 dias
17ME0074,PINCEL RETROPROJETOR FINO 1.0MM AZUL,,UN,Importante,Expediente,ARM-23,100,16,32,20 dias
17ME0075,PINCEL RETROPROJETOR FINO 1.0MM PRETO,,UN,Importante,Expediente,ARM-23,120,18,36,20 dias
17ME0076,PINCEL RETROPROJETOR FINO 1.0MM VERDE,,UN,Importante,Expediente,ARM-22,0,5,10,20 dias
17ME0077,"PONTA GRAFITE 0,5MM",,UN,Importante,Expediente,ARM-EXP-04,0,2,4,25 dias
17ME0078,"PONTA GRAFITE 0,7MM",,UN,Importante,Expediente,ARM-EXP-04,15,10,20,25 dias
17ME0079,"PONTA GRAFITE 0,9MM",,UN,Importante,Expediente,ARM-EXP-04,29,10,20,25 dias
17ME0080,PORTA CANETA/ CLIPES,,UN,Importante,Expediente,ARM-EXP-05,0,10,20,20 dias
17ME0081,POST IT 38X50 PEQUENO 100FLS,,UN,Importante,Expediente,ARM-EXP-03,63,20,40,20 dias
17ME0082,POST IT 76X76 GRANDE C 90 FLS,,UN,Importante,Expediente,ARM-EXP-03,3,20,40,20 dias
17ME0083,PRANCHETA DURATEX OFICIO C/PRENDED.METAL,,UN,Importante,Expediente,ARM-17,18,5,10,20 dias
17ME0084,REGUA TRANSPARENTE 30 CM,,UN,Importante,Expediente,ARM-EXP-05,2,30,60,20 dias
17ME0085,REGUA TRANSPARENTE 50 CM,,UN,Importante,Expediente,ARM-EXP-05,8,5,10,25 dias
17ME0086,TESOURA ESCOLAR SEM PONTA 13CM,,UN,Importante,Expediente,ARM-EXP-04,8,10,20,20 dias
17ME0087,TESOURA MULTIUSO 21CM,,UN,Importante,Expediente,SEM-SALDO,0,10,20,20 dias
17ME0088,TINTA PARA CARIMBO AZUL,,UN,Importante,Expediente,ARM-EXP-04,9,5,10,25 dias
17ME0089,TINTA PARA CARIMBO PRETO,,UN,Importante,Expediente,ARM-EXP-04,1,5,10,20 dias
17ME0090,TINTA PARA CARIMBO VERMELHO,,UN,Importante,Expediente,ARM-EXP-04,12,5,10,25 dias
17ME0092,"CANETA DE FLUXO DE RESINA PARA SOLDA, NÃO CORROSIVA. 951. 10ml",,UN,Importante,Expediente,MRO-19,24,50,100,25 dias
17ME0093,Pincel Marcador de texto laranja,,UN,Importante,Expediente,ARM-EXP-03,0,12,24,20 dias
17ME0094,Pincel Marcador de texto rosa,,UN,Importante,Expediente,ARM-EXP-03,0,48,96,20 dias
17ME0095,Pincel Marcador de texto verde,,UN,Importante,Expediente,ARM-EXP-03,0,5,10,20 dias
20LB0001,"ETIQUETA ADES BRANCA SFC 8X8MM, PI FOSCA",,UN,Importante,Consumivel,,0,35715,71430,25 dias
20LB0002,ETIQUETA 003 ADESIVA NAO-CONFORME AM.TAM. 40X30MM,,UN,Importante,Consumivel,MRO-22,0,10000,20000,25 dias
20LB0003,ETIQUETA ADESIVA DE SCRAP 100MM X 100MM,,UN,Importante,Consumivel,MRO-17,0,6000,12000,25 dias
20LB0004,ETIQUETA ADESIVA DE SCRAP 60MMX 40MM,,UN,Importante,Consumivel,MRO-19,0,5000,10000,25 dias
20LB0005,ETIQUETA ADESIVA NAO CONFORME 100MMX80MM,,UN,Importante,Consumivel,MRO-22,0,6000,12000,25 dias
20LB0006,ETIQUETA ADESIVA NAO CONFORME 60MMX40MM,,UN,Importante,Consumivel,MRO-22,0,5000,10000,25 dias
20LB0015,Visor e etiqueta para pasta suspensa,,CX,Importante,Expediente,ARM-EXP-03,4,2,4,25 dias
21MP0001,AGULHA HIPODERMICA,,UN,Importante,Consumivel,,0,10,20,20 dias
21MP0002,LAMINA PARA ESTILETE ESTREITO 9MM,,UN,Importante,Expediente,ARM-EXP-04,120,10,20,25 dias
21MP0003,LAMINA PARA ESTILETE LARGO 18 MM,,UN,Importante,Expediente,ARM-EXP-04,110,50,100,25 dias
21MP0004,LAMINA P/ESTILETE STARRET 60MMX19MM S01R,,UN,Importante,Expediente,ARM-EXP-01,80,50,100,20 dias
21MP0005,"BROCA DE METAL 4,00 X 75MM",,UN,Importante,Consumivel,MRO-19,0,100,200,20 dias
21MP0106,"LAMINA POLIEX ESD ROSA/AZUL 0,5 X 230 X 80MM",,UN,Importante,Corte,,0,32500,65000,20 dias
21MP0107,"NOZZLE HAKKO BENT SINGLE - 2,5 mm - N51-01",,UN,Importante,Consumivel,MRO-20,22,20,40,25 dias
25PK0001,CAIXA DE ARQUIVO MORTO,,UN,Importante,Expediente,,0,150,300,20 dias
25PK0038,Bin condutivo N° 3i dim 165x95x70mm,,UN,Importante,Consumivel,,0,15,30,20 dias
25PK0039,TABULEIRO MEDIDA INTERNA – 345 X 225 MEDIDA LIQUIDA – 245 X,,UN,Importante,Embalagem,MRO-17,0,200,400,20 dias
29TP0001,FITA ADESIVA ANTIEST.ESD 25MMX36M TRANSP,,UN,Importante,Consumivel,,0,5,10,25 dias
29TP0002,FITA ADESIVA ANTIEST.ESD 48MMX36M TRANSP,,UN,Importante,Consumivel,,0,5,10,25 dias
29TP0006,FITA ADESIVA PAPEL DUPLA FACE 18MM X 30M,,UN,Importante,Expediente,,0,15,30,20 dias
29TP0007,FITA ADESIVA PAPEL DUPLA FACE 48MM X 30M,,UN,Importante,Expediente,,0,10,20,25 dias
29TP0008,FITA DE DEMARC. SOLO ADESIVA AMARELA TAM. 50MMX30M,,UN,Importante,Consumivel,MRO-17,0,20,40,25 dias
29TP0009,FITA DE DEMARC. SOLO ADESIVA AZUL TAM. 50MMX30M,,UN,Importante,Consumivel,MRO-17,85,50,100,20 dias
29TP0010,FITA DE DEMARC. SOLO ADESIVA P/AREA ESD TAM. 48MMX20M CAUTION,,UN,Importante,Consumivel,MRO-17,3,50,100,25 dias
29TP0011,FITA DE DEMARC. SOLO ADESIVA PRETO TAM. 50MMX30M,,UN,Importante,Consumivel,MRO-17,2,2,4,25 dias
29TP0012,FITA DE DEMARC. SOLO ADESIVA VERDE TAM. 50MMX30M,,UN,Importante,Consumivel,MRO-17,29,20,40,25 dias
29TP0013,FITA DE DEMARC. SOLO ADESIVA VERMELHO TAM. 50MMX30M,,UN,Importante,Consumivel,MRO-17,119,20,40,25 dias
29TP0014,FITA DE DEMARC. SOLO ANTIDERRAPANTE TAM. 50MMX5M,,UN,Importante,Consumivel,,0,5,10,25 dias
29TP0015,FITA DE DEMARC. SOLO ZEBRADA PRETO/AMARE TAM. 48MMX30M,,UN,Importante,Consumivel,MRO-17,2,20,40,25 dias
